<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20220103,000000,3825.3400000,3866.1500000,3823.5000000,3852.5000000,52188858337
RI.IMOEX,D,20220104,000000,3880.2300000,3892.3300000,3846.8100000,3873.4900000,62470770105
RI.IMOEX,D,20220105,000000,3857.9000000,3875.2500000,3805.0600000,3815.0500000,59813490744
RI.IMOEX,D,20220106,000000,3758.6800000,3784.1700000,3720.1700000,3753.2900000,83529316312
RI.IMOEX,D,20220107,000000,3772.0400000,3772.0400000,3772.0400000,3772.0400000,0
RI.IMOEX,D,20220110,000000,3798.4000000,3806.8400000,3726.7300000,3738.6800000,85366370320
RI.IMOEX,D,20220111,000000,3764.5600000,3800.9100000,3751.4500000,3785.2900000,81163837097
RI.IMOEX,D,20220112,000000,3797.3100000,3841.7200000,3783.9200000,3829.9500000,100891168696
RI.IMOEX,D,20220113,000000,3814.9800000,3818.9700000,3664.4800000,3674.7300000,179124995198
RI.IMOEX,D,20220114,000000,3703.9000000,3723.6200000,3512.0300000,3596.9800000,253765921392
RI.IMOEX,D,20220117,000000,3632.9900000,3651.3600000,3501.9400000,3560.3500000,156152667921
RI.IMOEX,D,20220118,000000,3527.4900000,3534.5600000,3297.1200000,3328.9400000,302175017099
RI.IMOEX,D,20220119,000000,3289.6300000,3500.2700000,3256.6000000,3436.8200000,256389519993
RI.IMOEX,D,20220120,000000,3518.4300000,3533.6100000,3403.7400000,3516.0200000,192383293980
RI.IMOEX,D,20220121,000000,3420.1900000,3503.8400000,3407.2700000,3439.2500000,180626912049
RI.IMOEX,D,20220124,000000,3426.4700000,3426.4700000,3158.4600000,3235.2800000,231352738451
RI.IMOEX,D,20220125,000000,3317.4000000,3330.9000000,3229.4500000,3258.7400000,156975329684
RI.IMOEX,D,20220126,000000,3341.3800000,3412.1500000,3276.0600000,3357.6600000,160725106226
RI.IMOEX,D,20220127,000000,3297.1400000,3525.9400000,3284.4900000,3455.9300000,236919794598
RI.IMOEX,D,20220128,000000,3508.7200000,3534.4000000,3446.0100000,3488.6000000,143638708776
RI.IMOEX,D,20220131,000000,3523.8300000,3566.0500000,3518.5500000,3530.3800000,116885914336
RI.IMOEX,D,20220201,000000,3564.5800000,3584.7100000,3531.3500000,3548.1700000,109745281366
RI.IMOEX,D,20220202,000000,3575.1600000,3580.2200000,3516.1700000,3543.8000000,110564098897
RI.IMOEX,D,20220203,000000,3499.1000000,3519.2300000,3446.6500000,3471.1800000,102456658186
RI.IMOEX,D,20220204,000000,3499.3900000,3556.3200000,3464.1400000,3471.0100000,124139447454
RI.IMOEX,D,20220207,000000,3511.2600000,3521.2600000,3437.9300000,3470.7800000,74595078961
RI.IMOEX,D,20220208,000000,3497.2200000,3551.6500000,3487.6400000,3551.6500000,121545571613
RI.IMOEX,D,20220209,000000,3593.1900000,3638.9300000,3580.4500000,3638.9300000,137422232442
RI.IMOEX,D,20220210,000000,3628.4200000,3655.7600000,3592.7500000,3655.7600000,136914588578
RI.IMOEX,D,20220211,000000,3579.4600000,3596.7400000,3514.1200000,3546.6200000,136585740183
RI.IMOEX,D,20220214,000000,3441.6300000,3524.8700000,3404.3500000,3481.3800000,188888697093
RI.IMOEX,D,20220215,000000,3531.8900000,3614.1500000,3514.9800000,3600.2900000,185473561573
RI.IMOEX,D,20220216,000000,3682.8000000,3683.9500000,3608.0100000,3646.4100000,141404902585
RI.IMOEX,D,20220217,000000,3588.6300000,3595.1200000,3498.2000000,3511.0800000,166762829664
RI.IMOEX,D,20220218,000000,3547.1200000,3565.5200000,3371.0500000,3393.3100000,176701147029
RI.IMOEX,D,20220221,000000,3459.0500000,3460.4200000,2910.4900000,3036.8800000,469786742509
RI.IMOEX,D,20220222,000000,2909.5500000,3113.4000000,2756.4600000,3084.7400000,430565310504
RI.IMOEX,D,20220224,000000,2736.6500000,2740.3100000,1681.5500000,2058.1200000,246452894355
RI.IMOEX,D,20220225,000000,2261.3300000,2552.4600000,2256.0900000,2470.4800000,189354389723
RI.IMOEX,D,20220324,000000,2467.0900000,2761.1700000,2447.6800000,2578.5100000,100236213695
RI.IMOEX,D,20220325,000000,2620.6200000,2664.7400000,2470.6900000,2484.1300000,49160573529
RI.IMOEX,D,20220328,000000,2479.4900000,2484.5700000,2407.2000000,2430.7000000,25968606454
RI.IMOEX,D,20220329,000000,2442.4300000,2538.2000000,2363.6200000,2408.4900000,59052532586
RI.IMOEX,D,20220330,000000,2437.9200000,2513.0300000,2437.9200000,2513.0300000,39736020310
RI.IMOEX,D,20220331,000000,2535.3200000,2703.5100000,2533.3900000,2703.5100000,80019531713
RI.IMOEX,D,20220401,000000,2714.6200000,2817.7200000,2714.6200000,2759.6400000,78022746579
RI.IMOEX,D,20220404,000000,2775.0600000,2835.4600000,2682.3400000,2787.6900000,67743148488
RI.IMOEX,D,20220405,000000,2796.5600000,2808.2700000,2576.3400000,2662.7900000,68524137600
RI.IMOEX,D,20220406,000000,2641.7900000,2696.9700000,2594.9500000,2611.4300000,45493852635
RI.IMOEX,D,20220407,000000,2618.2600000,2653.8500000,2618.2600000,2635.3900000,33658855005
RI.IMOEX,D,20220408,000000,2649.1600000,2656.7200000,2554.7200000,2592.7200000,30928945308
RI.IMOEX,D,20220411,000000,2596.1700000,2623.6400000,2557.1600000,2557.1600000,26741878262
RI.IMOEX,D,20220412,000000,2559.2200000,2570.7800000,2472.2800000,2540.9900000,33173933644
RI.IMOEX,D,20220413,000000,2546.6400000,2558.8600000,2517.4400000,2528.4200000,19008934214
RI.IMOEX,D,20220414,000000,2530.9000000,2533.7700000,2403.8600000,2404.7300000,24320762984
RI.IMOEX,D,20220415,000000,2403.1600000,2431.9100000,2353.1300000,2424.9900000,24630046854
RI.IMOEX,D,20220418,000000,2430.9100000,2447.5800000,2338.3600000,2342.6300000,23242744264
RI.IMOEX,D,20220419,000000,2342.5300000,2344.3700000,2216.6100000,2317.4600000,35591784045
RI.IMOEX,D,20220420,000000,2326.0300000,2374.8700000,2271.7200000,2330.7300000,34641424044
RI.IMOEX,D,20220421,000000,2334.9700000,2341.2100000,2260.6800000,2271.0500000,28363048531
RI.IMOEX,D,20220422,000000,2271.1800000,2290.0400000,2223.7300000,2232.2300000,32279289543
RI.IMOEX,D,20220425,000000,2236.3200000,2237.4500000,2168.1800000,2186.2200000,22536295979
RI.IMOEX,D,20220426,000000,2190.9700000,2347.9200000,2190.9700000,2318.4600000,42972302473
RI.IMOEX,D,20220427,000000,2326.2700000,2427.4700000,2305.4700000,2424.2800000,48920420632
RI.IMOEX,D,20220428,000000,2434.8600000,2505.9400000,2379.1200000,2383.6600000,60911768322
RI.IMOEX,D,20220429,000000,2390.8300000,2448.5200000,2390.8300000,2445.1700000,41347537348
RI.IMOEX,D,20220504,000000,2444.2500000,2464.6000000,2373.1600000,2373.1600000,25945393469
RI.IMOEX,D,20220505,000000,2379.0400000,2412.8100000,2379.0400000,2404.8000000,17334244202
RI.IMOEX,D,20220506,000000,2405.1700000,2406.7800000,2372.5200000,2393.0300000,18011440886
RI.IMOEX,D,20220511,000000,2391.9100000,2414.8700000,2367.4800000,2387.1400000,18700048965
RI.IMOEX,D,20220512,000000,2382.3300000,2386.1600000,2283.3100000,2297.8900000,22633035203
RI.IMOEX,D,20220513,000000,2309.9800000,2321.9100000,2283.1000000,2307.5000000,15593410119
RI.IMOEX,D,20220516,000000,2308.2000000,2379.3500000,2306.0600000,2364.6000000,25844359142
RI.IMOEX,D,20220517,000000,2378.0800000,2425.1700000,2371.9300000,2424.1000000,35124409124
RI.IMOEX,D,20220518,000000,2438.0000000,2490.1700000,2438.0000000,2445.3000000,42166639089
RI.IMOEX,D,20220519,000000,2454.3600000,2454.8300000,2414.6300000,2436.5700000,23077312013
RI.IMOEX,D,20220520,000000,2441.5600000,2451.0200000,2365.8100000,2373.2600000,26111391523
RI.IMOEX,D,20220523,000000,2379.6600000,2389.4200000,2300.7700000,2301.8500000,25964287218
RI.IMOEX,D,20220524,000000,2300.1100000,2317.9200000,2229.2200000,2293.6200000,34468480441
RI.IMOEX,D,20220525,000000,2300.1500000,2340.1800000,2291.1300000,2340.1800000,28547075814
RI.IMOEX,D,20220526,000000,2348.4400000,2415.0300000,2327.2900000,2413.0600000,64389748219
RI.IMOEX,D,20220527,000000,2424.7000000,2439.8900000,2399.9200000,2407.5900000,34599658361
RI.IMOEX,D,20220530,000000,2418.2100000,2433.0400000,2376.4400000,2400.3900000,27062976274
RI.IMOEX,D,20220531,000000,2400.7500000,2400.7500000,2351.7400000,2355.7500000,20585317535
RI.IMOEX,D,20220601,000000,2349.8400000,2385.6400000,2338.9000000,2374.6000000,23132240688
RI.IMOEX,D,20220602,000000,2374.6700000,2382.2300000,2337.5300000,2340.1700000,25917699606
RI.IMOEX,D,20220603,000000,2341.5500000,2348.0300000,2286.8200000,2308.0300000,36609465662
RI.IMOEX,D,20220606,000000,2308.3500000,2321.7500000,2277.2100000,2282.1600000,23457674854
RI.IMOEX,D,20220607,000000,2281.3000000,2294.4000000,2239.7200000,2291.6200000,24661898168
RI.IMOEX,D,20220608,000000,2296.6200000,2342.6900000,2296.6200000,2318.8500000,33918535746
RI.IMOEX,D,20220609,000000,2321.5700000,2323.3900000,2275.2200000,2293.9900000,24738214547
RI.IMOEX,D,20220610,000000,2282.8100000,2296.1000000,2273.9500000,2285.5200000,22114939138
RI.IMOEX,D,20220614,000000,2280.0200000,2308.4300000,2261.2600000,2289.7500000,30520876753
RI.IMOEX,D,20220615,000000,2290.7600000,2320.4000000,2282.7900000,2318.9600000,31590916060
RI.IMOEX,D,20220616,000000,2321.5200000,2374.2400000,2317.8700000,2369.7500000,35162308789
RI.IMOEX,D,20220617,000000,2373.0700000,2382.4900000,2345.4000000,2353.9800000,21819676212
RI.IMOEX,D,20220620,000000,2358.2600000,2404.4000000,2357.3300000,2404.4000000,33489261044
RI.IMOEX,D,20220621,000000,2407.6300000,2415.5900000,2357.2700000,2358.8100000,47502135753
RI.IMOEX,D,20220622,000000,2348.0400000,2373.5200000,2320.8700000,2373.5200000,43213808421
RI.IMOEX,D,20220623,000000,2375.6000000,2404.5400000,2350.1000000,2404.5400000,48693127279
RI.IMOEX,D,20220624,000000,2405.3100000,2414.0200000,2372.0500000,2391.5100000,32410420917
RI.IMOEX,D,20220627,000000,2387.5500000,2417.0600000,2384.3200000,2417.0600000,32214522864
RI.IMOEX,D,20220628,000000,2419.1500000,2419.8100000,2392.2600000,2408.7500000,43613786664
RI.IMOEX,D,20220629,000000,2407.4900000,2407.4900000,2370.4100000,2378.5500000,39651490407
RI.IMOEX,D,20220630,000000,2380.0300000,2407.2000000,2184.7100000,2204.8500000,112737946665
RI.IMOEX,D,20220701,000000,2197.9000000,2237.9200000,2165.1300000,2206.6100000,48444229898
RI.IMOEX,D,20220704,000000,2208.7000000,2240.8300000,2197.3900000,2204.6600000,38928461582
RI.IMOEX,D,20220705,000000,2214.3900000,2238.7300000,2187.5700000,2226.6400000,46855754072
RI.IMOEX,D,20220706,000000,2227.0200000,2273.2400000,2214.0400000,2221.8800000,41979520216
RI.IMOEX,D,20220707,000000,2221.0200000,2239.5900000,2206.1600000,2226.6500000,29747045300
RI.IMOEX,D,20220708,000000,2225.0200000,2234.5500000,2202.5200000,2222.5100000,22286692702
RI.IMOEX,D,20220711,000000,2213.5500000,2224.3500000,2156.3600000,2162.3400000,30443999359
RI.IMOEX,D,20220712,000000,2160.7400000,2160.7400000,2105.2600000,2133.7700000,33505813693
RI.IMOEX,D,20220713,000000,2138.1400000,2142.5100000,2064.5800000,2073.6800000,29012798649
RI.IMOEX,D,20220714,000000,2073.7900000,2105.6100000,2049.4400000,2063.3000000,25928075099
RI.IMOEX,D,20220715,000000,2069.0200000,2109.5200000,2056.8200000,2109.5200000,24157763961
RI.IMOEX,D,20220718,000000,2119.0200000,2127.9600000,2083.0100000,2096.4200000,21351322141
RI.IMOEX,D,20220719,000000,2089.2800000,2089.2800000,2047.3300000,2071.2800000,23001959950
RI.IMOEX,D,20220720,000000,2076.2400000,2098.9200000,2067.3700000,2075.2400000,25180650490
RI.IMOEX,D,20220721,000000,2075.9900000,2075.9900000,2022.1600000,2053.6400000,27161050496
RI.IMOEX,D,20220722,000000,2056.1600000,2099.6800000,2053.2000000,2096.7500000,24289143740
RI.IMOEX,D,20220725,000000,2099.8100000,2132.7500000,2090.2200000,2128.9600000,28329095286
RI.IMOEX,D,20220726,000000,2135.8900000,2192.4200000,2135.8900000,2192.4200000,35273017393
RI.IMOEX,D,20220727,000000,2198.9600000,2220.8200000,2184.7100000,2196.2200000,35509514711
RI.IMOEX,D,20220728,000000,2204.0100000,2213.2100000,2169.2100000,2189.1600000,27592176896
RI.IMOEX,D,20220729,000000,2187.6700000,2213.8100000,2181.0700000,2213.8100000,25880041554
RI.IMOEX,D,20220801,000000,2213.7500000,2220.7300000,2178.9800000,2180.0900000,34560596533
RI.IMOEX,D,20220802,000000,2176.5700000,2178.8100000,2137.3000000,2137.3000000,27943183431
RI.IMOEX,D,20220803,000000,2138.7600000,2156.5400000,2123.9200000,2123.9200000,26464941939
RI.IMOEX,D,20220804,000000,2126.3900000,2137.8300000,2111.8700000,2116.5800000,22584168634
RI.IMOEX,D,20220805,000000,2120.1300000,2124.6000000,2052.0800000,2054.2900000,36914423132
RI.IMOEX,D,20220808,000000,2106.5000000,2119.4100000,2086.9800000,2088.4000000,27917568414
RI.IMOEX,D,20220809,000000,2090.3700000,2136.8000000,2071.7200000,2136.8000000,26430865725
RI.IMOEX,D,20220810,000000,2138.8100000,2158.8700000,2128.5900000,2151.5000000,27211788972
RI.IMOEX,D,20220811,000000,2157.1700000,2174.9000000,2128.3800000,2133.1100000,29532507499
RI.IMOEX,D,20220812,000000,2133.9300000,2150.9000000,2117.0800000,2147.3300000,21692844180
RI.IMOEX,D,20220815,000000,2147.7600000,2165.7500000,2139.4500000,2165.1200000,22652041721
RI.IMOEX,D,20220816,000000,2172.4000000,2208.3300000,2168.0600000,2208.3300000,27558426613
RI.IMOEX,D,20220817,000000,2213.4300000,2225.0500000,2186.8600000,2188.5600000,28022258196
RI.IMOEX,D,20220818,000000,2188.4200000,2197.9200000,2176.0200000,2194.3100000,19291595636
RI.IMOEX,D,20220819,000000,2199.6000000,2199.6000000,2179.5600000,2195.1600000,19366430497
RI.IMOEX,D,20220822,000000,2193.2900000,2231.2200000,2187.0400000,2228.1100000,25544070732
RI.IMOEX,D,20220823,000000,2230.7400000,2261.5900000,2230.7400000,2260.0800000,34088601334
